lightcast_category,durability_tier,half_life_years,trend,decay_rationale
Information Technology,perishable,2.5,growing,"IBM baseline for specific tech/tool skills (2.5yr); WEF ranks AI & Big Data + Networks/Cybersecurity + Tech Literacy as top-3 fastest-growing skills, so demand grows even as specific tools churn fast"
Analysis,semi-durable,4,growing,"Maps to Analytical Thinking, WEF's #1 core skill today and a top-10 fastest-growing skill; tools/methods evolve but the underlying capability is durable-leaning"
Engineering,semi-durable,6,growing,"Blends durable fundamentals with faster-moving specialized tools; boosted by green transition and robotics/autonomous systems trend"
Design,semi-durable,4,growing,"WEF cites design & UX growth from digital transformation; tools (Figma-class software) churn faster than the underlying discipline"
Business,semi-durable,6,stable,"General business/management skills sit near IBM's 5yr baseline; not singled out as fast-growing or declining"
Marketing and Public Relations,semi-durable,4,growing,"WEF cites marketing & media skills rising with digital transformation; channels/platforms shift quickly"
Media and Communications,semi-durable,5,stable,"IBM baseline; communication itself is durable but media formats/tools shift"
Sales,semi-durable,6,stable,"Relationship and negotiation skills are durable; CRM/tools layer shifts faster"
Finance,semi-durable,5,stable,"IBM baseline; regulatory/tool changes create moderate churn"
Human Resources,semi-durable,6,growing,"Talent Management is a top-10 WEF fastest-growing skill (aging workforce, demographic shift drivers)"
Health Care,durable,7,stable,"Regulated, licensure-based field; core clinical knowledge changes slower than generic tech, though specific protocols/tools update"
"Law, Regulation, and Compliance",durable,8,stable,"Foundational frameworks change slowly; new regulations are additive, not fully replacing prior knowledge"
Education and Training,durable,8,growing,"Curiosity & Lifelong Learning is a top-10 WEF fastest-growing skill; pedagogy is durable even as delivery tools change"
Administration,perishable,3,declining,"WEF: Clerical/Secretarial and Administrative Assistant roles are among fastest-declining jobs; software automates routine admin tasks"
Customer and Client Support,semi-durable,5,stable,"Service Orientation & Customer Service is WEF's most stable/least-substitutable core skill (near-zero GenAI substitution)"
Personal Care and Services,durable,8,stable,"High human/physical-presence component; low GenAI substitution capacity per WEF Box 3.1"
Social and Human Services,durable,9,growing,"Empathy & Active Listening shows zero GenAI substitution potential; demographic shifts increase demand for these human-centred skills"
"Performing Arts, Sports, and Recreation",durable,8,stable,"High human/physical component, low automation substitution"
Physical and Inherent Abilities,perishable,2,declining,"Direct match to WEF's only skill category with a true net negative decline: Manual Dexterity, Endurance & Precision (24% net decrease, >39% decline in some sectors)"
"Maintenance, Repair, and Facility Services",semi-durable,4,stable,"Blends durable trade fundamentals with tools/equipment that update on a few-year cycle; some automation pressure"
Manufacturing and Production,semi-durable,4,stable,"Automation and robotics reshape specific processes faster than the underlying discipline"
"Transportation, Supply Chain, and Logistics",semi-durable,5,stable,"IBM baseline; software/routing systems shift faster than core logistics principles"
Energy and Utilities,semi-durable,6,growing,"Green transition and energy technology are named WEF growth drivers (autonomous/EV and renewable energy roles among fastest-growing jobs)"
Environment,durable,9,growing,"Environmental Stewardship is a top-10 WEF fastest-growing skill with the largest net increase among industry-specific skills"
"Agriculture, Horticulture, and Landscaping",semi-durable,5,stable,"IBM baseline; moderate tech adoption (precision agriculture) without WEF singling it out as fast-changing"
Architecture and Construction,semi-durable,6,stable,"Durable design fundamentals; tools/codes update on a multi-year cycle"
Property and Real Estate,semi-durable,6,stable,"IBM baseline; market/regulatory knowledge shifts moderately"
Public Safety and National Security,durable,7,growing,"Overlaps with Networks & Cybersecurity growth driven by geoeconomic fragmentation"
Science and Research,durable,7,growing,"Overlaps with Analytical Thinking and AI & Big Data growth; methodology is durable even as tools evolve"
"Economics, Policy, and Social Studies",durable,7,stable,"Foundational frameworks change slowly relative to applied technical skills"
Hospitality and Food Services,semi-durable,5,stable,"IBM baseline; service-orientation component keeps it from fast decline despite some automation (kiosks, etc.)"
