skill_name,wef_status,wef_rank_2025_2030,notes,source
AI and Big Data,fastest-growing,1,"Top growing skill overall; >90% of respondents in top 10 industries expect growth",WEF Future of Jobs Report 2025
Networks and Cybersecurity,fastest-growing,2,"Driven by geoeconomic fragmentation and digital access expansion",WEF Future of Jobs Report 2025
Technological Literacy,fastest-growing,3,,WEF Future of Jobs Report 2025
Creative Thinking,fastest-growing,4,,WEF Future of Jobs Report 2025
"Resilience, Flexibility and Agility",fastest-growing,5,"Also #2 core skill today; fastest growth in Agriculture/Telecom/IT sectors",WEF Future of Jobs Report 2025
Curiosity and Lifelong Learning,fastest-growing,6,,WEF Future of Jobs Report 2025
Leadership and Social Influence,fastest-growing,7,"+22 percentage points vs 2023, largest increase of any skill",WEF Future of Jobs Report 2025
Talent Management,fastest-growing,8,,WEF Future of Jobs Report 2025
Analytical Thinking,fastest-growing,9,"#1 core skill today (70% of employers); also top of importance-gap between growing/declining jobs",WEF Future of Jobs Report 2025
Environmental Stewardship,fastest-growing,10,"Largest net increase among industry-specific skills (Oil & Gas, Chemicals)",WEF Future of Jobs Report 2025
Systems Thinking,rising core skill,,"Not in top 10 growing but solidifying as core by 2030",WEF Future of Jobs Report 2025
Motivation and Self-Awareness,rising core skill,,"Top 5 core skill today; solidifying by 2030",WEF Future of Jobs Report 2025
Design and User Experience,rising (beyond top 10),,"Growth driven by digital transformation",WEF Future of Jobs Report 2025
Marketing and Media,rising (beyond top 10),,"Growth driven by digital transformation",WEF Future of Jobs Report 2025
Programming,mixed/stable,,"Importance grows for growing jobs but overall demand roughly stable; both growth & decline respondents cite tech change",WEF Future of Jobs Report 2025
Empathy and Active Listening,stable/durable,,"Top 10 core skill; near-zero GenAI substitution capacity",WEF Future of Jobs Report 2025
Service Orientation and Customer Service,stable,,"Top 10 core skill; only skill with equal/lesser importance in growing vs declining jobs",WEF Future of Jobs Report 2025
Global Citizenship,most stable,,"Among most stable skills; small growth only where climate+geoeconomic+digital factors converge",WEF Future of Jobs Report 2025
Sensory-Processing Abilities,most stable,,"No GenAI substitution potential due to physical/human component",WEF Future of Jobs Report 2025
"Reading, Writing and Mathematics",slight net decline,,"Small net decline; but GenAI shows strength here (summarizing, drafting, translation)",WEF Future of Jobs Report 2025
Dependability and Attention to Detail,declining,,"Decreased in importance vs 2023 data",WEF Future of Jobs Report 2025
Quality Control,declining,,"Among skills with largest decline in projected future demand",WEF Future of Jobs Report 2025
"Manual Dexterity, Endurance and Precision",fastest-declining,,"Only skill with a true net negative decline (24% of respondents foresee decrease); steepest in Energy/Chemicals/IT sectors (>39% decline)",WEF Future of Jobs Report 2025
