skill_name,lightcast_category,skill_type,half_life_years,trend,one_liner
Python (Programming Language),Information Technology,specialized,3,growing,"Still the house wine of programming languages. Ages fine, just don't skip the vintage updates."
jQuery,Information Technology,specialized,1.5,declining,"It's been dead for years. We're sorry."
React,Information Technology,specialized,2.5,growing,"Hot right now. Ask again in three years."
SQL,Information Technology,common,6,stable,"Aging well, like wine. Every generation of tools still needs to talk to a database."
Machine Learning,Information Technology,specialized,3,growing,"The gold rush skill of the decade. Just keep panning for new techniques."
Cybersecurity Fundamentals,Information Technology,specialized,3.5,growing,"Never goes fully out of style; the threats just keep remodeling the house."
Cloud Computing (AWS/Azure/GCP),Information Technology,specialized,3,growing,"Whichever cloud you pick, the skill of picking clouds keeps paying off."
Microsoft Excel,Business,common,7,stable,"The cockroach of office software. Will outlive us all."
Data Analysis,Analysis,common,5,growing,"Half spreadsheet, half crystal ball. Demand keeps climbing."
Graphic Design (Adobe Suite),Design,specialized,3,declining,"Generative AI is eating the easy 80% of this job. The remaining 20% is where the real craft lives."
UX/UI Design,Design,specialized,4,growing,"Digital transformation's favorite skill. Software still needs a human face."
Copywriting,Media and Communications,common,4,declining,"GenAI drafts the first pass now. You're the editor, not the typist."
Project Management,Business,common,7,stable,"A durable skill in a world of shifting tools. PMI cert optional, backbone required."
Leadership,Human Resources,common,9,growing,"The #1 riser of the last cycle. Machines still can't rally a team before a deadline."
Communication,Media and Communications,common,9,stable,"Zero GenAI substitution potential. Some things stay human."
Critical Thinking,Analysis,common,8,growing,"Analytical Thinking tops WEF's core-skills list for a reason: everyone needs it, nobody automates it away."
Customer Service,Customer and Client Support,common,6,stable,"The one skill that's actually MORE important in growing jobs than declining ones."
Nursing Care (Clinical),Health Care,specialized,8,stable,"Licensure-backed and physically hands-on. This one has a long shelf life."
Welding,Manufacturing and Production,specialized,5,stable,"A trade skill with real staying power, but automation nibbles at the edges."
Manual Data Entry,Administration,common,1.5,declining,"WEF's own data says clerical roles are shrinking fastest. This one's on the clearance rack."
Typing / Data Entry Speed,Physical and Inherent Abilities,common,1.5,declining,"Manual precision skills are the only category with a true net decline. Sorry, fingers."
Cold Calling,Sales,common,5,stable,"The channel changes, the nerve required doesn't."
Financial Modeling,Finance,specialized,5,stable,"Spreadsheets evolve, the underlying logic barely does."
Renewable Energy Systems,Energy and Utilities,specialized,5,growing,"Green transition is one of WEF's five named macrotrends. This skill rides that wave."
Environmental Impact Assessment,Environment,specialized,8,growing,"Environmental Stewardship posted the largest sector-specific gains in the WEF data."
Public Speaking,Media and Communications,common,8,stable,"AI can write the speech. It still can't deliver it with your timing."
Cybersecurity Compliance (GDPR/SOC2),"Law, Regulation, and Compliance",specialized,5,growing,"Regulation moves slower than tech, but cybersecurity is dragging this one uphill."
